組合,頂點m,到頂點s,離架偵測s,滑行s,備援餘裕s,落點東m,落點北m,區內,觸水m/s,離架m/s,飛行時間s
T090_e79_CALM,765.6,15.05,1.32,13.73,4.27,413,0,Y,6.45,15.4,132.3
T090_e79_E2,731.0,14.75,1.32,13.43,4.57,270,0,Y,6.79,15.4,126.8
T090_e79_E4,696.5,14.45,1.32,13.13,4.87,129,0,Y,7.63,15.4,121.4
T090_e79_N2,760.4,15.00,1.32,13.68,4.32,411,-126,Y,6.73,15.4,131.5
T090_e79_N4,749.0,14.90,1.32,13.58,4.42,402,-281,Y,7.67,15.4,129.7
T090_e79_S2,760.6,15.00,1.32,13.68,4.32,411,130,Y,6.80,15.4,131.5
T090_e79_S4,743.4,14.85,1.32,13.53,4.47,399,238,Y,7.58,15.4,128.9
T090_e79_W2,793.3,15.30,1.32,13.98,4.02,556,0,Y,6.70,15.4,136.7
T090_e79_W4,804.7,15.40,1.32,14.08,3.92,736,0,Y,7.42,15.4,138.5
T090_e80_CALM,775.0,15.15,1.32,13.83,4.17,380,0,Y,6.45,15.4,133.8
T090_e80_E2,744.3,14.85,1.32,13.53,4.47,232,0,Y,6.73,15.4,129.0
T090_e80_E4,712.1,14.55,1.32,13.23,4.77,81,0,Y,7.80,15.4,123.9
T090_e80_N2,770.3,15.10,1.32,13.78,4.22,377,-140,Y,6.78,15.4,133.0
T090_e80_N4,760.5,15.00,1.32,13.68,4.32,370,-292,Y,7.79,15.4,131.5
T090_e80_S2,770.4,15.10,1.32,13.78,4.22,377,138,Y,6.76,15.4,133.1
T090_e80_S4,755.6,14.95,1.32,13.63,4.37,368,268,Y,7.97,15.4,130.8
T090_e80_W2,797.4,15.35,1.32,14.03,3.97,536,0,Y,6.77,15.4,137.3
T090_e80_W4,810.4,15.45,1.32,14.13,3.87,686,0,Y,7.48,15.4,139.3
T090_e81_CALM,783.6,15.20,1.33,13.87,4.13,346,0,Y,6.45,15.4,135.1
T090_e81_E2,757.7,15.00,1.33,13.67,4.33,192,0,Y,6.73,15.4,131.1
T090_e81_E4,722.6,14.67,1.33,13.34,4.66,52,0,Y,7.58,15.7,125.6
T090_e81_N2,779.2,15.15,1.33,13.82,4.18,343,-139,Y,6.74,15.4,134.4
T090_e81_N4,763.6,15.05,1.33,13.72,4.28,334,-269,Y,7.41,15.4,132.1
T090_e81_S2,779.5,15.15,1.33,13.82,4.18,343,141,Y,6.86,15.4,134.5
T090_e81_S4,762.8,15.00,1.33,13.67,4.33,333,264,Y,7.36,15.4,131.9
T090_e81_W2,803.3,15.40,1.33,14.07,3.93,500,0,Y,6.76,15.4,138.2
T090_e81_W4,813.7,15.45,1.33,14.12,3.88,653,0,Y,7.34,15.4,139.8
T100_e79_CALM,930.2,16.15,1.31,14.84,3.16,480,0,Y,6.45,16.7,157.9
T100_e79_E2,894.1,15.85,1.31,14.54,3.46,297,0,Y,6.72,16.7,152.3
T100_e79_E4,864.2,15.60,1.31,14.29,3.71,93,0,Y,7.67,16.7,147.7
T100_e79_N2,925.0,16.10,1.31,14.79,3.21,477,-168,Y,6.69,16.7,157.1
T100_e79_N4,910.2,16.00,1.31,14.69,3.31,466,-334,Y,7.72,16.7,154.9
T100_e79_S2,925.3,16.10,1.31,14.79,3.21,476,172,Y,6.75,16.7,157.2
T100_e79_S4,910.1,16.00,1.31,14.69,3.31,466,339,Y,7.46,16.7,154.9
T100_e79_W2,958.6,16.40,1.31,15.09,2.91,669,0,Y,6.73,16.7,162.3
T100_e79_W4,978.8,16.55,1.31,15.24,2.76,844,0,Y,7.50,16.7,165.5
T100_e80_CALM,941.1,16.25,1.31,14.94,3.06,440,0,Y,6.45,16.7,159.6
T100_e80_E2,903.4,15.95,1.31,14.64,3.36,268,0,Y,6.75,16.7,153.7
T100_e80_E4,867.1,15.65,1.31,14.34,3.66,80,0,Y,7.55,16.7,148.1
T100_e80_N2,936.0,16.20,1.31,14.89,3.11,437,-170,Y,6.82,16.7,158.8
T100_e80_N4,921.9,16.10,1.31,14.79,3.21,428,-358,Y,7.90,16.7,156.7
T100_e80_S2,935.8,16.20,1.31,14.89,3.11,436,170,Y,6.78,16.7,158.8
T100_e80_S4,923.5,16.10,1.31,14.79,3.21,429,362,Y,7.52,16.7,157.0
T100_e80_W2,967.7,16.45,1.31,15.14,2.86,625,0,Y,6.79,16.7,163.7
T100_e80_W4,982.4,16.60,1.31,15.29,2.71,821,0,Y,7.50,16.7,166.0
T100_e81_CALM,951.0,16.35,1.31,15.04,2.96,400,0,Y,6.45,16.7,161.1
T100_e81_E2,923.1,16.10,1.31,14.79,3.21,204,0,Y,6.79,16.7,156.8
T100_e81_E4,877.3,15.70,1.31,14.39,3.61,45,0,Y,7.26,16.7,149.7
T100_e81_N2,945.7,16.30,1.31,14.99,3.01,397,-175,Y,6.70,16.7,160.3
T100_e81_N4,927.1,16.10,1.31,14.79,3.21,387,-329,Y,7.66,16.7,157.5
T100_e81_S2,945.1,16.25,1.31,14.94,3.06,396,169,Y,6.72,16.7,160.2
T100_e81_S4,928.2,16.15,1.31,14.84,3.16,387,330,Y,7.61,16.7,157.7
T100_e81_W2,973.4,16.50,1.31,15.19,2.81,592,0,Y,6.72,16.7,164.6
T100_e81_W4,985.2,16.60,1.31,15.29,2.71,776,0,Y,7.70,16.7,166.4
T110_e79_CALM,1097.9,17.15,1.30,15.85,2.15,545,0,Y,6.45,17.8,183.7
T110_e79_E2,1061.3,16.90,1.30,15.60,2.40,313,0,Y,6.78,17.8,178.1
T110_e79_E4,1011.1,16.50,1.30,15.20,2.80,113,0,Y,7.54,17.8,170.4
T110_e79_N2,1092.0,17.10,1.30,15.80,2.20,541,-201,Y,6.76,17.8,182.8
T110_e79_N4,1079.7,17.00,1.30,15.70,2.30,533,-431,Y,7.44,17.8,181.0
T110_e79_S2,1092.4,17.10,1.30,15.80,2.20,541,206,Y,6.78,17.8,182.9
T110_e79_S4,1073.9,16.98,1.30,15.68,2.32,529,386,Y,7.63,17.8,180.1
T110_e79_W2,1129.6,17.40,1.30,16.10,1.90,775,0,Y,6.76,17.8,188.6
T110_e79_W4,1148.5,17.55,1.30,16.25,1.75,1021,0,Y,7.55,17.8,191.6
T110_e80_CALM,1110.2,17.25,1.30,15.95,2.05,499,0,Y,6.45,17.7,185.6
T110_e80_E2,1073.8,17.00,1.30,15.70,2.30,277,0,Y,6.73,17.7,180.0
T110_e80_E4,1029.3,16.65,1.30,15.35,2.65,58,0,Y,8.03,17.7,173.2
T110_e80_N2,1104.9,17.20,1.30,15.90,2.10,497,-212,Y,6.82,17.7,184.8
T110_e80_N4,1089.0,17.10,1.30,15.80,2.20,487,-415,Y,7.92,17.7,182.4
T110_e80_S2,1104.0,17.20,1.30,15.90,2.10,496,202,Y,6.72,17.7,184.7
T110_e80_S4,1089.4,17.10,1.30,15.80,2.20,487,427,Y,7.37,17.7,182.5
T110_e80_W2,1139.8,17.50,1.30,16.20,1.80,720,0,Y,6.80,17.7,190.1
T110_e80_W4,1155.2,17.60,1.30,16.30,1.70,979,0,Y,7.76,17.7,192.6
T110_e81_CALM,1121.5,17.35,1.30,16.05,1.95,453,0,Y,6.45,17.7,187.3
T110_e81_E2,1091.3,17.10,1.30,15.80,2.20,219,0,Y,6.67,17.7,182.7
T110_e81_E4,1044.9,16.78,1.30,15.48,2.52,19,0,Y,7.47,17.7,175.6
T110_e81_N2,1115.4,17.30,1.30,16.00,2.00,450,-210,Y,6.79,17.7,186.4
T110_e81_N4,1104.1,17.22,1.30,15.92,2.08,444,-455,Y,7.68,17.7,184.7
T110_e81_S2,1115.2,17.30,1.30,16.00,2.00,450,207,Y,6.75,17.7,186.4
T110_e81_S4,1100.6,17.15,1.30,15.85,2.15,442,428,Y,7.50,17.7,184.2
T110_e81_W2,1147.4,17.55,1.30,16.25,1.75,683,0,Y,6.75,17.7,191.3
T110_e81_W4,1160.3,17.61,1.30,16.31,1.69,903,0,Y,7.62,17.7,193.3
